longitude,latitude
25.7225703,66.5019801
25.6861672,66.4898916
24.9560946,67.1672607
25.754472,66.5189165
25.7027177,66.4964493
25.4660458,66.6441169
25.4553378,66.6492515
25.8284668,66.5579138
25.7570044,66.5176403
25.6852383,66.49229
25.7231535,66.5018532
25.7139354,66.5012969
25.3733891,66.3679171
25.6943931,66.4909801
25.8568843,66.5408985
25.7170809,66.4981883
25.6761243,66.5307321
25.7221464,66.4963242
25.8479461,66.5417876
25.7551624,66.4745086
25.844255391604534,66.54471861122968
25.71031116005602,66.49546667412241
